COUNTY,Year,Housing_Units,Population,Units_Per_Capita,Pop_Growth
Chelan,2019,38672,77944,0.4961510828286975,0.6183437681533596
Chelan,2020,37267,79141,0.47089372133281104,1.535717951349687
Chelan,2021,37846,80000,0.473075,1.085404531153258
Chelan,2022,38468,80650,0.4769745815251085,0.8125
Chelan,2023,38968,81500,0.47813496932515337,1.0539367637941723
Chelan,2024,39366,82300,0.47832320777642773,0.98159509202454
Chelan,2025,39943,82900,0.4818214716525935,0.7290400972053462
Clallam,1990,25225,56210,0.44876356520192134,
Clallam,1991,26032,57626,0.4517405337868323,2.519124710905533
Clallam,1992,26489,58275,0.45455169455169453,1.126227744420921
Clallam,1993,27059,59155,0.45742540782689545,1.5100815100815101
Clallam,1994,27581,59919,0.4603047447387306,1.2915222719972952
Clallam,1995,28045,60548,0.4631862324106494,1.0497504965036133
Clallam,1996,28654,61469,0.46615367095609167,1.5211072207174472
Clallam,1997,29100,62037,0.46907490691039216,0.9240430135515463
Clallam,1998,29710,62933,0.4720893648801106,1.444299369730967
Clallam,1999,30131,63425,0.47506503744580214,0.7817838018209842
Clallam,2000,30683,64179,0.47808473176584243,1.18880567599527
Clallam,2001,31033,64717,0.4795185190908108,0.8382804344100094
Clallam,2002,31472,65398,0.48123795834735006,1.0522737456927855
Clallam,2003,31931,65928,0.4843313918213809,0.8104223370745283
Clallam,2004,32425,66725,0.48594979393031096,1.2088945516320835
Clallam,2005,32982,67672,0.4873803050005911,1.4192581491195204
Clallam,2006,33748,68948,0.4894703254626675,1.8855656697009102
Clallam,2007,34408,69847,0.49261958280241097,1.3038811858211987
Clallam,2008,34995,70629,0.4954763624007136,1.1195899609145705
Clallam,2009,35341,71027,0.49757134610781817,0.5635079075167424
Clallam,2010,35582,71404,0.4983194218811271,0.5307840680304673
Clallam,2011,35772,71810,0.49814789026597966,0.5685955968853286
Clallam,2012,35971,72383,0.49695370459914623,0.7979390057095113
Clallam,2013,36135,72771,0.49655769468607003,0.5360374673611207
Clallam,2014,36273,73104,0.49618351936966515,0.4575998680793173
Clallam,2015,36437,73482,0.4958629324188237,0.5170715692711753
Clallam,2016,36682,74160,0.49463322545846816,0.922674940801829
Clallam,2017,36921,74873,0.4931150080803494,0.9614347357065804
Clallam,2018,37174,75513,0.4922860964337266,0.8547807620904732
Clallam,2019,37569,76439,0.49148994623163567,1.226278918861653
Clallam,2020,37930,77155,0.49160780247553626,0.9366946192388701
Clallam,2021,38228,77750,0.4916784565916399,0.7711749076534249
